Время: Sunday October 16 14:37:03 2022; Операция: Сложение; Входные данные: (2, 2); Результат: 4 
Время: Sunday October 16 14:37:03 2022; Операция: Вычитание; Входные данные: (3, 2); Результат: 1 
Время: Sunday October 16 14:37:03 2022; Операция: Деление; Входные данные: (4, 2); Результат: 2.0 
Время: Sunday October 16 14:37:03 2022; Операция: Целочисленное деление; Входные данные: (7, 4); Результат: 1 
Время: Sunday October 16 14:37:03 2022; Операция: Остаток от деления; Входные данные: (9, 2); Результат: 1 
Время: Sunday October 16 14:37:03 2022; Операция: Умножение; Входные данные: (2, 2); Результат: 4 
Время: Sunday October 16 14:37:03 2022; Операция: Возведение в степень; Входные данные: (2, 3); Результат: 8 
Время: Sunday October 16 14:37:03 2022; Операция: Извлечение квадратного корня; Входные данные: (4, 0.5); Результат: 2.0 
Время: Sunday October 16 14:37:03 2022; Операция: Сложение; Входные данные: ((1+1j), (2+2j)); Результат: (3+3j) 
Время: Sunday October 16 14:37:03 2022; Операция: Вычитание; Входные данные: ((2+2j), (1+1j)); Результат: (1+1j) 
Время: Sunday October 16 14:37:03 2022; Операция: Деление; Входные данные: ((4+4j), (2+2j)); Результат: (2+0j) 
Время: Sunday October 16 14:37:03 2022; Операция: Умножение; Входные данные: ((2+2j), (3+3j)); Результат: 12j 
Время: Sunday October 16 14:37:03 2022; Операция: Возведение в степень; Входные данные: ((2+3j), 2); Результат: (-5+12j) 
Время: Sunday October 16 14:37:03 2022; Операция: Извлечение квадратного корня; Входные данные: ((4+4j), 0.5); Результат: (2+2j) 
Время: Sunday October 16 14:38:23 2022; Операция: Сложение; Входные данные: (3, 1); Результат: 4 
Время: Sunday October 16 14:52:13 2022; Операция: Остаток от деления; Входные данные: (2, 3); Результат: 2 
Время: Sunday October 16 14:55:32 2022; Операция: Сложение; Входные данные: (1, 1); Результат: 2 
